,Resort,Resort_Lat,Resort_Long,Pass,Vertical Drop,Skiable Terrain,Average Snowfall
76,Afton Alps,44.853187899999995,-92.78480265574875,Epic,350.0,250 ac,60.0
77,Folgaria - Lavarone,46.1750462,10.797423397301115,Epic,2034.0,103.3 km,20.0
78,Paganella Ski,46.1750462,10.797423397301115,Epic,3560.0,40 km,91.0
79,Crested Butte,38.8970023,-106.94468286413003,Epic,3062.0,1547 ac,234.0
80,Monte Bondone,46.0396465,11.06430454534564,Epic,2986.0,19 km,44.0
81,Mount Sunapee,43.3321313,-72.0788167,Epic,1510.0,232 ac,100.0
82,Mt. Brighton,42.5410098,-83.8108072,Epic,230.0,130 ac,60.0
83,Pejo,46.37664855,10.654277092857651,Epic,5249.0,20 km,59.0
84,Pinzolo,46.1617322,10.7650043,Epic,4265.0,31.4 km,50.0
85,Telluride,37.9374939,-107.812285,Epic,4425.0,2000 ac,280.0
86,Wilmot Mountain,42.50119015,-88.18808165664426,Epic,230.0,135 ac,70.0
