,Resort,Year,Total Snowfall
842,Pinzolo,2014 - 2015,75.0
843,Pinzolo,2015 - 2016,65.0
844,Pinzolo,2016 - 2017,32.0
845,Pinzolo,2017 - 2018,48.0
846,Pinzolo,2018 - 2019,22.0
847,Pinzolo,2019 - 2020,12.0
848,Pinzolo,2020 - 2021,0.0
849,Pinzolo,2021 - To Date,21.0
850,Telluride,2012 - 2013,196.0
851,Telluride,2013 - 2014,179.0
852,Telluride,2014 - 2015,204.0
853,Telluride,2015 - 2016,241.0
854,Telluride,2016 - 2017,294.0
855,Telluride,2017 - 2018,159.0
856,Telluride,2018 - 2019,323.0
857,Telluride,2019 - 2020,205.0
858,Telluride,2020 - 2021,206.0
859,Telluride,2021 - To Date,179.0
860,Wilmot Mountain,2012 - 2013,44.0
861,Wilmot Mountain,2013 - 2014,58.0
862,Wilmot Mountain,2014 - 2015,15.0
863,Wilmot Mountain,2015 - 2016,12.0
864,Wilmot Mountain,2016 - 2017,17.0
865,Wilmot Mountain,2017 - 2018,37.0
866,Wilmot Mountain,2018 - 2019,35.0
867,Wilmot Mountain,2019 - 2020,6.0
868,Wilmot Mountain,2020 - 2021,22.0
869,Wilmot Mountain,2021 - To Date,10.0
